C_MB,Delta0,Delta_min,Q_adiabatic,U,efficiency_adiabatic,maximum_residual,minimum_overlap,polarization_points,wall_time_s
2.0,1.0,0.4444376230275964,2.0,-32.0,1.0,5.490178096611023e-09,0.8116014310971627,10,10.159524925984442
2.0000000000000004,1.0,0.8554036059089754,2.0000000000000004,-16.0,1.0000000000000002,3.979176226245365e-09,0.8182545421321338,10,7.767944686114788
2.0,1.0,1.5147194017537018,2.0,-8.0,1.0,8.853800349849466e-12,0.8352869425822484,10,6.761817926540971
2.0000000000000004,1.0,2.2881230492188216,1.9999999999999998,-4.0,0.9999999999999999,3.801034047286183e-12,0.860056310558859,10,5.94700947124511
2.0,1.0,2.2035434793078235,1.9999999999999998,0.0,0.9999999999999999,1.1238245279157117e-09,0.9045077511041406,10,4.930919822305441
2.0000000000000004,1.0,1.3783291763306025,2.0000000000000004,2.0,1.0000000000000002,6.249120274789169e-13,0.928789313538905,10,5.847726385109127
1.2147951908367599e-17,1.0,1.0052455005639729,2.949029909160572e-17,4.0,1.474514954580286e-17,9.530098614512727e-14,0.8197881118448485,5,1.4956295434385538
1.2868373772251615e-17,1.0,0.8830861976215907,9.131015171401358e-18,5.0,4.565507585700679e-18,3.6523074634498186e-12,0.8502923244440045,5,1.4927135687321424
-2.4330415043747605e-17,1.0,0.8288368758215157,-3.8163916471489756e-17,5.5,-1.9081958235744878e-17,8.935215080539533e-12,0.8636073082281888,5,1.4963496290147305
4.369121339770847e-17,1.0,0.7788346184140065,5.616167253474913e-17,6.0,2.8080836267374565e-17,1.0622640853125947e-10,0.8756567529330955,5,1.4762450074777007
-3.865257425389691e-18,1.0,0.7329792296822353,3.469446951953614e-18,6.5,1.734723475976807e-18,3.0009672618645123e-10,0.8865115620878894,5,1.5237545827403665
1.7876815592427317e-17,1.0,0.6910898492736228,1.0408340855860843e-17,7.0,5.204170427930421e-18,7.5559391213101e-14,0.8962623524760519,5,1.6797769386321306
-1.5737119517658027e-17,1.0,0.6715537481208989,-2.7755575615628914e-17,7.25,-1.3877787807814457e-17,9.545259281811676e-14,0.9007545042025099,5,1.7171798096969724
8.76585166115162e-18,1.0,0.6529078059157309,1.2576745200831851e-17,7.5,6.288372600415926e-18,1.1302442960589988e-13,0.905007848469117,5,1.7031007995828986
1.8290950316576213e-17,1.0,0.6181292148831714,1.5829351718288365e-17,8.0,7.914675859144182e-18,5.817625008865706e-13,0.9128473382142038,5,1.6479303250089288
1.9740421851097347e-17,1.0,0.5068633395718107,2.970713952610282e-17,10.0,1.485356976305141e-17,1.5318784442593715e-11,0.9369454593760835,5,1.856920512393117
-2.3553912435968425e-17,1.0,0.3247246890840374,-2.3418766925686896e-17,16.0,-1.1709383462843448e-17,6.788401771749101e-11,0.9712571314110289,5,2.1781013840809464
-2.898511678704613e-17,1.0,0.16416849132356537,-2.9063394486189553e-17,32.0,-1.4531697243094777e-17,6.689113064497845e-11,0.9921788692387149,5,2.5184756880626082
2.0,2.0,0.44443762302807954,2.0,-32.0,1.0,1.3086446710836204e-08,0.8116014310971156,10,9.877821907401085
2.0,2.0,0.8554036059092454,2.0,-16.0,1.0,3.477690226594591e-09,0.8182545421321002,10,6.954082190059125
2.0000000000000004,2.0,1.514719401754057,2.0000000000000004,-8.0,1.0000000000000002,2.9823712403958837e-09,0.8352869425822441,10,6.9942337814718485
2.0000000000000004,2.0,2.288123049218804,1.9999999999999998,-4.0,0.9999999999999999,2.623559647967484e-09,0.8600563105588622,10,6.543247975409031
2.0,2.0,3.600000000000035,2.0000000000000004,0.0,1.0000000000000002,2.712867766353612e-13,0.9045077511041296,10,5.19519522972405
2.0,2.0,2.5382288347955306,1.9999999999999998,2.0,0.9999999999999999,8.353835690915248e-10,0.9287893135389098,10,6.516761027276516
2.0000000000000004,2.0,1.506320079250882,2.0,4.0,1.0,3.671415420156801e-10,0.9427716134290025,10,6.115823513828218
2.0,2.0,1.183022286179921,2.0,5.0,1.0,8.911061718906548e-12,0.9483909871627648,10,6.050726419314742
4.251783167928659e-17,2.0,1.0653951193615363,3.2959746043559335e-17,5.5,1.6479873021779667e-17,3.1620409201574584e-11,0.8474848346612897,5,1.5451282486319542
3.540851891473056e-17,2.0,0.9691297268110466,3.252606517456513e-17,6.0,1.6263032587282567e-17,1.3910565556206453e-10,0.8610544106577529,5,1.5140156103298068
1.9774933078109755e-17,2.0,0.8887731790725919,-8.023096076392733e-18,6.5,-4.0115480381963664e-18,3.770865285556774e-10,0.8734919042958208,5,1.6180346179753542
2.139696074769293e-18,2.0,0.8204278531390439,2.905661822261152e-17,7.0,1.452830911130576e-17,6.929269797732789e-14,0.8847734740859272,5,1.6685127364471555
-3.195739621348976e-17,2.0,0.789900460445577,-1.9949319973733282e-17,7.25,-9.974659986866641e-18,9.214924412948124e-14,0.8899909371556981,5,1.7177363969385624
-5.4803828495703827e-17,2.0,0.7614612221477048,-2.862293735361732e-17,7.5,-1.431146867680866e-17,1.3248586384157478e-13,0.8949367335506284,5,1.6968827052041888
-6.94365887489648e-17,2.0,0.7100529178026531,-6.418476861114186e-17,8.0,-3.209238430557093e-17,9.909457511515407e-13,0.9040539848240396,5,1.6964854700490832
-4.500264002417997e-17,2.0,0.5575287140101404,-3.426078865054194e-17,10.0,-1.713039432527097e-17,9.994127775804661e-11,0.9318778804097887,5,1.9067423520609736
2.933454296054676e-17,2.0,0.33807848259872064,2.949029909160572e-17,16.0,1.474514954580286e-17,2.0091341604979603e-10,0.9700892880936833,5,2.195518205873668
3.129305509350091e-17,2.0,0.16589569453645403,3.096752455161722e-17,32.0,1.548376227580861e-17,1.8464861421487915e-11,0.9920881226866715,5,3.3459196807816625
2.0000000000000004,4.0,0.444437623029188,2.0000000000000004,-32.0,1.0000000000000002,1.3915312467554813e-08,0.811601431097498,10,11.177165533415973
2.0,4.0,0.8554036059097996,2.0,-16.0,1.0,2.612047510844074e-09,0.8182545421321392,10,9.243559604510665
1.9999999999999998,4.0,1.5147194017539647,1.9999999999999996,-8.0,0.9999999999999998,3.696388184902892e-09,0.8352869425822478,10,7.785343465395272
1.9999999999999998,4.0,2.288123049218907,2.0,-4.0,1.0,3.2940956912134984e-09,0.8600563105588611,10,7.167551642283797
2.0,4.0,3.5999999999999535,2.0,0.0,1.0,4.356637958481993e-13,0.9045077511041352,10,5.02615034673363
2.0000000000000004,4.0,2.9141050013935086,2.0,2.0,1.0,1.887254171058392e-09,0.9287893135389087,10,7.681951032951474
2.0000000000000004,4.0,2.2881230492189157,2.0,4.0,1.0,1.3483637168069353e-09,0.9437577484394375,10,7.230136417783797
2.0,4.0,2.044132197177789,2.0,5.0,1.0,1.0920165990770967e-09,0.9450871544662973,10,7.121582622639835
2.0000000000000004,4.0,1.9367116541655713,2.0000000000000004,5.5,1.0000000000000002,9.440660779954394e-10,0.9472305681901724,10,7.819179710932076
2.0,4.0,1.8379311251861434,2.0,6.0,1.0,8.859580306424691e-10,0.9500850767627278,10,9.069769453257322
2.0000000000000004,4.0,1.7470279460279023,2.0000000000000004,6.5,1.0000000000000002,7.659869996937158e-10,0.9533919718385472,10,8.958823326043785
2.0000000000000004,4.0,1.6632886770317317,2.0,7.0,1.0,2.4931018046270846e-10,0.9513995963797862,10,9.017977230250835
1.9999999999999998,4.0,1.623897270097288,2.0,7.25,1.0,6.583526131820691e-11,0.9496388059361278,10,9.065521943382919
2.0000000000000004,4.0,1.5860538757960914,1.9999999999999998,7.5,0.9999999999999999,9.669912966195719e-12,0.9483108082745549,10,8.61335034109652
2.0000000000000004,4.0,1.4891737079553122,2.0000000000000004,8.0,1.0000000000000002,4.703649223592412e-12,0.9474886071225791,10,8.930909317918122
1.6151254241806922e-17,4.0,0.8923154242126019,4.336808689942018e-17,10.0,2.168404344971009e-17,4.455729112445497e-12,0.9086280573036042,5,2.4749873597174883
3.7824304805599114e-17,4.0,0.40367799193831155,3.686287386450715e-17,16.0,1.8431436932253575e-17,2.1733742687783038e-10,0.9649327595377026,5,2.9250526428222656
-2.104322067081575e-17,4.0,0.17317792628855433,-2.0816681711721685e-17,32.0,-1.0408340855860843e-17,1.1619000017177923e-10,0.9917135801713829,5,2.523212249390781
2.0000000000000004,5.0,0.4444376230285343,2.0000000000000004,-32.0,1.0000000000000002,1.434181908812434e-08,0.8116014310973707,10,8.492511861026287
2.0,5.0,0.8554036059092738,2.0,-16.0,1.0,2.8592168414727305e-09,0.8182545421321359,10,7.153015499934554
1.9999999999999998,5.0,1.5147194017535952,2.0,-8.0,1.0,8.555091948688869e-10,0.8352869425822373,10,8.988687724806368
2.0000000000000004,5.0,2.288123049218811,2.0,-4.0,1.0,3.039732423768535e-09,0.8600563105588618,10,9.957183850929141
2.0,5.0,3.6000000000000174,2.0,0.0,1.0,4.044182628722665e-13,0.9045077511041321,10,6.874752480536699
