C_MB,C_MB_integer,Delta0,Delta_center,Delta_min,Q_topological,U,branch,chern_grid,efficiency_topological,label,maximum_abs_flux,maximum_residual,minimum_overlap,path_id,wall_time_s
2.0,2,3.0,0.0,0.3006824809889901,2.0,6.872348498,simultaneous,20,1.0,centered,0.28924934007905956,5.382201419481961e-10,0.6975553744369426,center,34.11643434688449
2.0000000000000004,2,3.0,0.0,0.06939288458940229,2.0000000000000004,7.247348498,simultaneous,20,1.0000000000000002,centered,0.6260736320906971,4.701856218621919e-10,0.6685981881039419,center,30.477020885795355
-2.473764752249402e-16,0,3.0,0.0,0.06474537094200716,-2.1401812071684956e-16,7.497348498,simultaneous,20,-1.0700906035842478e-16,centered,0.4902973831172674,4.6131933071417867e-10,0.712238594734956,center,27.447742850519717
-1.766974823035287e-17,0,3.0,0.0,0.22721454504325678,-5.717133580787626e-17,7.872348498,simultaneous,20,-2.858566790393813e-17,centered,0.1845497537189713,4.165496185306602e-10,0.7325334273452101,center,24.944693623110652
2.0,2,3.0,1.5,0.28446186886482927,2.0,3.852096694,low,20,1.0,"shifted, enclosing origin",0.3408552294268255,1.690265890855463e-09,0.6785306158533271,shift-1p5,39.21781999617815
2.0,2,3.0,1.5,0.06696377142027199,2.0,4.227096694,low,20,1.0,"shifted, enclosing origin",0.6832593705640919,1.3494200048362987e-09,0.6499677004935384,shift-1p5,27.32233851775527
1.0,1,3.0,1.5,0.06351697119675581,1.0,4.477096694,low,20,0.5,"shifted, enclosing origin",0.4964559481351899,1.414670817998073e-09,0.7138218481270903,shift-1p5,27.146574852988124
1.0,1,3.0,1.5,0.22938543036387582,1.0000000000000002,4.852096694,low,20,0.5000000000000001,"shifted, enclosing origin",0.1980384185475789,1.3373869592950072e-09,0.7374390241897382,shift-1p5,33.46423887088895
0.9999999999999999,1,3.0,1.5,0.2172580309703216,1.0,9.854477369,high,20,0.5,"shifted, enclosing origin",0.27190248008623186,4.3868356553909836e-10,0.7030535330669018,shift-1p5,28.71316211298108
1.0000000000000002,1,3.0,1.5,0.07009389231855678,1.0000000000000004,10.229477369,high,20,0.5000000000000002,"shifted, enclosing origin",0.6045939346884168,2.7095856310850737e-10,0.6743812879778728,shift-1p5,30.73224305547774
1.236882376124701e-16,0,3.0,1.5,0.06490533731065273,1.2766480581016815e-16,10.479477369,high,20,6.383240290508407e-17,"shifted, enclosing origin",0.4850682378762413,3.2489219770213923e-10,0.7097044608485822,shift-1p5,39.62905521132052
1.4135798584282297e-16,0,3.0,1.5,0.19731865982467078,1.3723627811414174e-16,10.854477369,high,20,6.861813905707087e-17,"shifted, enclosing origin",0.17834600072910564,3.717084743815161e-10,0.7302255313049176,shift-1p5,35.2466486543417
1.9999999999999998,2,3.0,2.85,0.17346166809657504,1.9999999999999996,0.382883835,low,20,0.9999999999999998,"near-tangent, enclosing origin",0.8422116113485001,3.139636132765216e-09,0.475303928025203,near-tangent,33.33253333065659
2.0,2,3.0,2.85,0.04393323634910651,2.0,0.757883835,low,20,1.0,"near-tangent, enclosing origin",1.104474638908225,2.894481043207905e-09,0.47833731861314477,near-tangent,29.64779774006456
