Delta_center,Delta_min_line,E0,E1,U,U_offset,branch,critical_U,maximum_residual,path_id,phi_fraction,phi_over_pi,wall_time_s
1.5,0.06696377142027377,-5.672475370054392,-5.605511598634118,4.227096694,-0.125,low,4.352096694,1.8882540562042507e-14,shift-1p5,0.75,1.5,0.09663990698754787
1.5,0.0330790988798455,-5.568375660237875,-5.535296561358029,4.289596694,-0.0625,low,4.352096694,7.225690412063323e-14,shift-1p5,0.75,1.5,0.10640277899801731
1.5,2.3943781597424163e-06,-5.46627263115702,-5.46627023677886,4.352096694,0.0,low,4.352096694,1.1981132792424004e-10,shift-1p5,0.75,1.5,0.10599011369049549
1.5,0.03221385957303724,-5.398420053238096,-5.366206193665059,4.414596694,0.0625,low,4.352096694,2.947208999710374e-14,shift-1p5,0.75,1.5,0.11565678752958775
1.5,0.06351697119669364,-5.331733013854642,-5.268216042657948,4.477096694,0.125,low,4.352096694,5.4041377543441236e-14,shift-1p5,0.75,1.5,0.10692141763865948
1.5,0.12317644457203425,-5.201794406561703,-5.078617961989669,4.602096694,0.25,low,4.352096694,2.374215370881477e-14,shift-1p5,0.75,1.5,0.1057764682918787
1.5,0.17858045348661022,-5.076342913024416,-4.897762459537806,4.727096694,0.375,low,4.352096694,6.617858779417204e-14,shift-1p5,0.75,1.5,0.10534173902124166
1.5,0.22938543036384562,-4.955261904448207,-4.7258764740843615,4.852096694,0.5,low,4.352096694,2.5107363108298207e-12,shift-1p5,0.75,1.5,0.10678074043244123
1.5,0.31626542498215393,-4.725724402229135,-4.409458977246981,5.102096694,0.75,low,4.352096694,5.693757499826794e-14,shift-1p5,0.75,1.5,0.14108893647789955
1.5,0.3188668636354963,-4.512179215995235,-4.193312352359738,5.352096694,1.0,low,4.352096694,2.153975868761061e-10,shift-1p5,0.75,1.5,0.11090752482414246
1.5,0.6641127725123264,-6.625315386819048,-5.961202614306722,9.354477369,-1.0,high,10.354477369,5.409493724962179e-14,shift-1p5,0.25,0.5,0.0752278845757246
