C_MB,C_MB_integer,Delta0,Delta_center,Delta_min,Q_adiabatic,U,chern_grid,efficiency_adiabatic,label,maximum_abs_flux,maximum_residual,minimum_overlap,path_id,wall_time_s
2.0,2,3.0,1.5,1.1180880743386865,1.9999999999999998,-32.0,10,0.9999999999999999,"shifted, enclosing origin",1.2213808611680994,1.448825270722189e-08,0.001737010544887835,shift-1p5,14.131848198361695
2.0000000000000004,2,3.0,1.5,1.2633644394602328,1.9999999999999996,-16.0,10,0.9999999999999998,"shifted, enclosing origin",1.1406406672828324,6.441268391027797e-09,0.017444525372924038,shift-1p5,10.446761052124202
2.0,2,3.0,1.5,1.6178363520090073,1.9999999999999998,-8.0,10,0.9999999999999999,"shifted, enclosing origin",0.9730699981559452,3.678983457681829e-09,0.09048237623940787,shift-1p5,9.039825649932027
2.0,2,3.0,1.5,2.150261170154348,2.0000000000000004,-4.0,10,1.0000000000000002,"shifted, enclosing origin",0.7831779724831948,7.795061093263268e-10,0.222875345235914,shift-1p5,10.037140515632927
1.9999999999999998,2,3.0,1.5,2.9260624033970046,2.0,0.0,10,1.0,"shifted, enclosing origin",0.4974808821164166,1.238479896738575e-12,0.49678516218543023,shift-1p5,7.097276866436005
2.0,2,3.0,1.5,1.7897152342975957,2.0,2.0,10,1.0,"shifted, enclosing origin",0.3380934618473003,1.9232054324092662e-09,0.5191617723449414,shift-1p5,9.613940789364278
1.0000000000000002,1,3.0,1.5,1.145876804480305,0.9999999999999999,4.0,10,0.49999999999999994,"shifted, enclosing origin",1.3797846905197733,1.4125708617586219e-09,0.006930718248012331,shift-1p5,8.503666740842164
0.9999999999999999,1,3.0,1.5,0.9684413967281813,1.0,5.0,10,0.5,"shifted, enclosing origin",0.3687535387135707,1.0540157836245132e-09,0.16573670941430396,shift-1p5,6.932735179550946
1.0000000000000002,1,3.0,1.5,0.897902292056215,0.9999999999999999,5.5,10,0.49999999999999994,"shifted, enclosing origin",0.23228883452925658,1.0028390997833847e-09,0.20872754035206847,shift-1p5,6.955044640228152
0.9999999999999999,1,3.0,1.5,0.8357157805537105,1.0,6.0,10,0.5,"shifted, enclosing origin",0.21433961898419063,8.052255767138939e-10,0.23668542582944216,shift-1p5,6.884943179786205
1.0,1,3.0,1.5,0.7804214910266332,0.9999999999999998,6.5,10,0.4999999999999999,"shifted, enclosing origin",0.21576050732506544,1.0568847618709927e-09,0.25495288282106954,shift-1p5,9.026497164741158
1.0000000000000002,1,3.0,1.5,0.7310368382624368,1.0000000000000004,7.0,10,0.5000000000000002,"shifted, enclosing origin",0.22397165676543393,9.250891778042535e-10,0.26709031185963344,shift-1p5,9.276046724058688
1.0000000000000002,1,3.0,1.5,0.7083186266613288,1.0000000000000002,7.25,10,0.5000000000000001,"shifted, enclosing origin",0.2254109776580648,8.45134423025399e-10,0.2716000024980759,shift-1p5,9.269298153929412
1.0,1,3.0,1.5,0.686804427276666,1.0000000000000002,7.5,10,0.5000000000000001,"shifted, enclosing origin",0.22471451046854607,6.676791287085876e-10,0.275343617196742,shift-1p5,9.3688800400123
