Delta0,Delta_center,Q_real_time,U,efficiency,maximum_norm_error,path_id,period,time_step_error,time_steps,wall_time_s
3.0,1.5,1.4157468849790054,0.0,0.7078734424895027,2.4424906541753444e-15,shift-1p5,2.0,0.002853158751046969,80,3.963818645104766
3.0,1.5,1.994583958503021,0.0,0.9972919792515105,5.10702591327572e-15,shift-1p5,10.0,0.0029894386278035423,400,19.56643621623516
3.0,1.5,0.7170395016788466,7.25,0.3585197508394233,7.66053886991358e-15,shift-1p5,2.0,0.0015180713829517911,80,2.3471736647188663
3.0,1.5,1.0071534408701328,7.25,0.5035767204350664,4.374278717023117e-14,shift-1p5,10.0,0.0026182591166155067,400,11.52475662715733
3.0,1.5,0.696812220157542,7.5,0.348406110078771,6.217248937900877e-15,shift-1p5,2.0,0.0014203600427478147,80,2.379459802992642
3.0,1.5,1.0002915254458047,7.5,0.5001457627229023,2.4646951146678475e-14,shift-1p5,10.0,0.0025505354126926782,400,11.589209149591625
3.0,1.5,0.022955137070097838,16.0,0.011477568535048919,1.0436096431476471e-14,shift-1p5,2.0,0.00019089896115217012,80,2.4643615502864122
3.0,1.5,-1.3390384279464399e-05,16.0,-6.695192139732199e-06,4.6407322429331543e-14,shift-1p5,10.0,0.0004627114169674132,400,11.743425831198692
3.0,2.85,0.9028181696468192,0.0,0.4514090848234096,2.4424906541753444e-15,near-tangent,2.0,0.0006250640372241767,80,2.348886240273714
3.0,2.85,1.1302498619728856,0.0,0.5651249309864428,4.440892098500626e-15,near-tangent,10.0,0.0021832388679792203,400,18.011698689311743
3.0,2.85,0.8421138307048603,7.25,0.42105691535243017,6.772360450213455e-15,near-tangent,2.0,0.0023731654534379087,80,4.461216827854514
3.0,2.85,1.0015689838511252,7.25,0.5007844919255626,3.652633751016765e-14,near-tangent,10.0,0.0026528964439684888,400,12.663941853679717
3.0,2.85,0.8271203594015147,7.5,0.41356017970075737,6.439293542825908e-15,near-tangent,2.0,0.0022548270119358005,80,2.3153834119439125
3.0,2.85,1.0012760544166657,7.5,0.5006380272083328,2.6201263381153694e-14,near-tangent,10.0,0.002645862296126511,400,11.296074996702373
3.0,2.85,0.09189448043451354,16.0,0.04594724021725677,7.771561172376096e-15,near-tangent,2.0,0.0002303704724256478,80,2.3554194811731577
3.0,2.85,-0.00041224095154188665,16.0,-0.00020612047577094332,4.529709940470639e-14,near-tangent,10.0,0.0005588004461634206,400,11.404418343678117
3.0,3.6,0.47159597684775995,0.0,0.23579798842387997,1.5543122344752192e-15,outside,2.0,0.000851516576691913,80,2.1967780124396086
3.0,3.6,0.16053362605578875,0.0,0.08026681302789437,4.218847493575595e-15,outside,10.0,0.0014860148184452082,400,10.776727714575827
3.0,3.6,0.8675865488947261,7.25,0.43379327444736304,8.104628079763643e-15,outside,2.0,0.003058474712503534,80,2.3243076652288437
3.0,3.6,0.995207525757317,7.25,0.4976037628786585,3.497202527569243e-14,outside,10.0,0.002612203039926708,400,11.262199042364955
3.0,3.6,0.8586823849801241,7.5,0.42934119249006203,6.661338147750939e-15,outside,2.0,0.0030157716257154243,80,2.317583209834993
3.0,3.6,0.9961986128052216,7.5,0.4980993064026108,2.864375403532904e-14,outside,10.0,0.002613356857096294,400,11.320719447918236
3.0,3.6,0.13771352155513758,16.0,0.06885676077756879,8.659739592076221e-15,outside,2.0,0.00021266673285685878,80,2.35466371383518
3.0,3.6,0.013831796978875167,16.0,0.0069158984894375835,4.796163466380676e-14,outside,10.0,0.0006755433793953925,400,11.420865926891565
